game_state,inning,half_inning,home_lead,win_ex,run_ex,li,First,Second,Third,Outs
---:0,1,bottom,-10,0.024265,0.539569,0.148587,0,0,0,0
---:0,1,bottom,-9,0.036165,0.539569,0.20744,0,0,0,0
---:0,1,bottom,-8,0.053035,0.539569,0.276783,0,0,0,0
---:0,1,bottom,-7,0.07661,0.539569,0.359706,0,0,0,0
---:0,1,bottom,-6,0.109305,0.539569,0.470496,0,0,0,0
---:0,1,bottom,-5,0.153565,0.539569,0.603167,0,0,0,0
---:0,1,bottom,-4,0.21048,0.539569,0.714365,0,0,0,0
---:0,1,bottom,-3,0.27939,0.539569,0.78871,0,0,0,0
---:0,1,bottom,-2,0.36011,0.539569,0.846038,0,0,0,0
---:0,1,bottom,-1,0.45049,0.539569,0.868063,0,0,0,0
---:0,1,bottom,0,0.54596,0.539569,0.820908,0,0,0,0
---:0,1,bottom,1,0.638875,0.539569,0.728354,0,0,0,0
---:0,1,bottom,2,0.72208,0.539569,0.61659,0,0,0,0
---:0,1,bottom,3,0.793125,0.539569,0.483094,0,0,0,0
---:0,1,bottom,4,0.85076,0.539569,0.36282,0,0,0,0
---:0,1,bottom,5,0.894575,0.539569,0.26953,0,0,0,0
---:0,1,bottom,6,0.92721,0.539569,0.187072,0,0,0,0
---:0,1,bottom,7,0.951045,0.539569,0.123816,0,0,0,0
---:0,1,bottom,8,0.96726,0.539569,0.083584,0,0,0,0
---:0,1,bottom,9,0.97824,0.539569,0.05577,0,0,0,0
---:0,1,bottom,10,0.985665,0.539569,0.03371,0,0,0,0
---:0,1,top,-10,0.02075,0.539569,0.050346,0,0,0,0
---:0,1,top,-9,0.03099,0.539569,0.080789,0,0,0,0
---:0,1,top,-8,0.045725,0.539569,0.114748,0,0,0,0
---:0,1,top,-7,0.066525,0.539569,0.165672,0,0,0,0
---:0,1,top,-6,0.09589,0.539569,0.236726,0,0,0,0
---:0,1,top,-5,0.135125,0.539569,0.324,0,0,0,0
---:0,1,top,-4,0.185515,0.539569,0.429075,0,0,0,0
---:0,1,top,-3,0.249135,0.539569,0.543852,0,0,0,0
---:0,1,top,-2,0.324915,0.539569,0.658535,0,0,0,0
---:0,1,top,-1,0.40986,0.539569,0.75628,0,0,0,0
---:0,1,top,0,0.501155,0.539569,0.819388,0,0,0,0
---:0,1,top,1,0.592305,0.539569,0.837503,0,0,0,0
---:0,1,top,2,0.67715,0.539569,0.804109,0,0,0,0
---:0,1,top,3,0.751535,0.539569,0.743939,0,0,0,0
---:0,1,top,4,0.81417,0.539569,0.659203,0,0,0,0
---:0,1,top,5,0.86508,0.539569,0.544317,0,0,0,0
---:0,1,top,6,0.904235,0.539569,0.424895,0,0,0,0
---:0,1,top,7,0.93333,0.539569,0.319853,0,0,0,0
---:0,1,top,8,0.95415,0.539569,0.239381,0,0,0,0
---:0,1,top,9,0.968935,0.539569,0.178213,0,0,0,0
---:0,1,top,10,0.979165,0.539569,0.126455,0,0,0,0
---:0,2,bottom,-10,0.01907,0.539569,0.12975,0,0,0,0
---:0,2,bottom,-9,0.02951,0.539569,0.187838,0,0,0,0
---:0,2,bottom,-8,0.04423,0.539569,0.25441,0,0,0,0
---:0,2,bottom,-7,0.065905,0.539569,0.345485,0,0,0,0
---:0,2,bottom,-6,0.096685,0.539569,0.461329,0,0,0,0
---:0,2,bottom,-5,0.13916,0.539569,0.602981,0,0,0,0
---:0,2,bottom,-4,0.19541,0.539569,0.742166,0,0,0,0
---:0,2,bottom,-3,0.264985,0.539569,0.842425,0,0,0,0
---:0,2,bottom,-2,0.34941,0.539569,0.919565,0,0,0,0
---:0,2,bottom,-1,0.446755,0.539569,0.941115,0,0,0,0
---:0,2,bottom,0,0.5506,0.539569,0.871909,0,0,0,0
---:0,2,bottom,1,0.65066,0.539569,0.753423,0,0,0,0
---:0,2,bottom,2,0.73793,0.539569,0.613769,0,0,0,0
---:0,2,bottom,3,0.80933,0.539569,0.467693,0,0,0,0
---:0,2,bottom,4,0.865535,0.539569,0.339724,0,0,0,0
---:0,2,bottom,5,0.908065,0.539569,0.240158,0,0,0,0
---:0,2,bottom,6,0.938575,0.539569,0.164014,0,0,0,0
---:0,2,bottom,7,0.959895,0.539569,0.108972,0,0,0,0
---:0,2,bottom,8,0.973845,0.539569,0.072652,0,0,0,0
---:0,2,bottom,9,0.98315,0.539569,0.046341,0,0,0,0
---:0,2,bottom,10,0.98934,0.539569,0.0249,0,0,0,0
---:0,2,top,-10,0.01669,0.539569,0.038034,0,0,0,0
---:0,2,top,-9,0.02548,0.539569,0.064611,0,0,0,0
---:0,2,top,-8,0.03828,0.539569,0.096839,0,0,0,0
---:0,2,top,-7,0.056935,0.539569,0.143885,0,0,0,0
---:0,2,top,-6,0.084175,0.539569,0.212493,0,0,0,0
---:0,2,top,-5,0.121335,0.539569,0.302939,0,0,0,0
---:0,2,top,-4,0.170925,0.539569,0.409478,0,0,0,0
---:0,2,top,-3,0.23475,0.539569,0.540435,0,0,0,0
---:0,2,top,-2,0.312315,0.539569,0.676597,0,0,0,0
---:0,2,top,-1,0.40246,0.539569,0.787368,0,0,0,0
---:0,2,top,0,0.50134,0.539569,0.879093,0,0,0,0
---:0,2,top,1,0.599865,0.539569,0.912298,0,0,0,0
---:0,2,top,2,0.68983,0.539569,0.85569,0,0,0,0
---:0,2,top,3,0.766595,0.539569,0.775559,0,0,0,0
---:0,2,top,4,0.829155,0.539569,0.676235,0,0,0,0
---:0,2,top,5,0.879065,0.539569,0.538104,0,0,0,0
---:0,2,top,6,0.916375,0.539569,0.409839,0,0,0,0
---:0,2,top,7,0.943035,0.539569,0.311181,0,0,0,0
---:0,2,top,8,0.96163,0.539569,0.23098,0,0,0,0
---:0,2,top,9,0.9746,0.539569,0.165013,0,0,0,0
---:0,2,top,10,0.983715,0.539569,0.111681,0,0,0,0
---:0,3,bottom,-10,0.014585,0.539569,0.113822,0,0,0,0
---:0,3,bottom,-9,0.02318,0.539569,0.170036,0,0,0,0
---:0,3,bottom,-8,0.035925,0.539569,0.235847,0,0,0,0
---:0,3,bottom,-7,0.055115,0.539569,0.321455,0,0,0,0
---:0,3,bottom,-6,0.08322,0.539569,0.44472,0,0,0,0
---:0,3,bottom,-5,0.123125,0.539569,0.601612,0,0,0,0
---:0,3,bottom,-4,0.178245,0.539569,0.760571,0,0,0,0
---:0,3,bottom,-3,0.24892,0.539569,0.897772,0,0,0,0
---:0,3,bottom,-2,0.33632,0.539569,1.000516,0,0,0,0
---:0,3,bottom,-1,0.44051,0.539569,1.026577,0,0,0,0
---:0,3,bottom,0,0.554735,0.539569,0.93744,0,0,0,0
---:0,3,bottom,1,0.663625,0.539569,0.775985,0,0,0,0
---:0,3,bottom,2,0.75564,0.539569,0.604802,0,0,0,0
---:0,3,bottom,3,0.828045,0.539569,0.438844,0,0,0,0
---:0,3,bottom,4,0.882405,0.539569,0.306644,0,0,0,0
---:0,3,bottom,5,0.92213,0.539569,0.215488,0,0,0,0
---:0,3,bottom,6,0.94934,0.539569,0.14471,0,0,0,0
---:0,3,bottom,7,0.96765,0.539569,0.092781,0,0,0,0
---:0,3,bottom,8,0.97988,0.539569,0.056361,0,0,0,0
---:0,3,bottom,9,0.98771,0.539569,0.034666,0,0,0,0
---:0,3,bottom,10,0.99256,0.539569,0.017585,0,0,0,0
---:0,3,top,-10,0.01255,0.539569,0.029426,0,0,0,0
---:0,3,top,-9,0.0196,0.539569,0.053945,0,0,0,0
---:0,3,top,-8,0.030515,0.539569,0.08532,0,0,0,0
---:0,3,top,-7,0.04704,0.539569,0.129868,0,0,0,0
---:0,3,top,-6,0.07156,0.539569,0.190787,0,0,0,0
---:0,3,top,-5,0.10635,0.539569,0.275165,0,0,0,0
---:0,3,top,-4,0.1548,0.539569,0.387241,0,0,0,0
---:0,3,top,-3,0.21806,0.539569,0.530317,0,0,0,0
---:0,3,top,-2,0.29804,0.539569,0.683908,0,0,0,0
---:0,3,top,-1,0.394195,0.539569,0.824558,0,0,0,0
---:0,3,top,0,0.50111,0.539569,0.938562,0,0,0,0
---:0,3,top,1,0.608225,0.539569,0.983231,0,0,0,0
---:0,3,top,2,0.703565,0.539569,0.932355,0,0,0,0
---:0,3,top,3,0.782385,0.539569,0.824084,0,0,0,0
---:0,3,top,4,0.845285,0.539569,0.687927,0,0,0,0
---:0,3,top,5,0.89399,0.539569,0.52866,0,0,0,0
---:0,3,top,6,0.928515,0.539569,0.387704,0,0,0,0
---:0,3,top,7,0.952665,0.539569,0.283104,0,0,0,0
---:0,3,top,8,0.969375,0.539569,0.20268,0,0,0,0
---:0,3,top,9,0.98024,0.539569,0.146494,0,0,0,0
---:0,3,top,10,0.98766,0.539569,0.099132,0,0,0,0
---:0,4,bottom,-10,0.01045,0.539569,0.097002,0,0,0,0
---:0,4,bottom,-9,0.01722,0.539569,0.145281,0,0,0,0
---:0,4,bottom,-8,0.027625,0.539569,0.206882,0,0,0,0
---:0,4,bottom,-7,0.043705,0.539569,0.291718,0,0,0,0
---:0,4,bottom,-6,0.0685,0.539569,0.42027,0,0,0,0
---:0,4,bottom,-5,0.10554,0.539569,0.593739,0,0,0,0
---:0,4,bottom,-4,0.15787,0.539569,0.781132,0,0,0,0
---:0,4,bottom,-3,0.228,0.539569,0.957493,0,0,0,0
---:0,4,bottom,-2,0.319185,0.539569,1.09636,0,0,0,0
---:0,4,bottom,-1,0.431955,0.539569,1.134639,0,0,0,0
---:0,4,bottom,0,0.55885,0.539569,1.016608,0,0,0,0
---:0,4,bottom,1,0.679885,0.539569,0.80384,0,0,0,0
---:0,4,bottom,2,0.77782,0.539569,0.591227,0,0,0,0
---:0,4,bottom,3,0.849905,0.539569,0.405341,0,0,0,0
---:0,4,bottom,4,0.90083,0.539569,0.273215,0,0,0,0
---:0,4,bottom,5,0.93672,0.539569,0.184223,0,0,0,0
---:0,4,bottom,6,0.96089,0.539569,0.115528,0,0,0,0
---:0,4,bottom,7,0.975925,0.539569,0.070923,0,0,0,0
---:0,4,bottom,8,0.98536,0.539569,0.042875,0,0,0,0
---:0,4,bottom,9,0.991575,0.539569,0.024498,0,0,0,0
---:0,4,bottom,10,0.995315,0.539569,0.011221,0,0,0,0
---:0,4,top,-10,0.008605,0.539569,0.021011,0,0,0,0
