"des","id","type","start_speed","sz_top","sz_bot","pfx_x","pfx_z","px","pz","pitcher_name","pitch_type","count","stand","batter_name"
"Called Strike",55,"S",90,3.49,1.59,-9.55831310420159,12.0665209255975,0.672597519950198,2.44486430583686,"Jeremy Hellickson","FF","0-0","L","Billy Hamilton"
"Foul",56,"S",90.4,3.49,1.59,-8.17834645930258,11.0812515916506,0.744218865273731,2.54838547872821,"Jeremy Hellickson","FF","0-1","L","Billy Hamilton"
"In play, out(s)",57,"X",82,3.49,1.59,-8.00035474602587,12.6482517981695,-0.407495487203806,1.83700462588675,"Jeremy Hellickson","CH","0-2","L","Billy Hamilton"
"Called Strike",61,"S",91,3.32,1.49,-9.90887627107067,12.6697731491418,0.23558327864332,2.17238816790189,"Jeremy Hellickson","FF","0-0","R","Jose Peraza"
"Swinging Strike",62,"S",81.4,3.32,1.49,-6.48387631206109,9.76882595409252,-0.107735281955987,2.25054790891229,"Jeremy Hellickson","CH","0-1","R","Jose Peraza"
"Foul",63,"S",82.3,3.32,1.49,-6.33203533490352,13.165337171291,-1.16305425885502,2.35098754935344,"Jeremy Hellickson","CH","0-2","R","Jose Peraza"
"In play, no out",64,"X",92,3.32,1.49,-8.31535412498268,13.358963320485,-0.465171839916217,3.03388847155923,"Jeremy Hellickson","FF","0-2","R","Jose Peraza"
"Foul",69,"S",90.7,3.33,1.6,-6.40408821007598,15.431639205752,0.398326555092285,2.75149224630428,"Jeremy Hellickson","FF","0-0","L","Joey Votto"
"Ball",70,"B",87,3.33,1.6,-2.18959318108075,12.6441138460193,1.43760642533602,2.36234727547028,"Jeremy Hellickson","FC","0-1","L","Joey Votto"
"In play, out(s)",71,"X",90.9,3.33,1.6,-4.47381043396166,13.4412517410888,0.839961997843516,3.13474878490245,"Jeremy Hellickson","FF","1-1","L","Joey Votto"
"Called Strike",108,"S",90.8,3.38,1.56,-8.85389776296035,10.7951420911649,-0.912702842683701,2.09760346897885,"Jeremy Hellickson","FF","0-0","R","Adam Duvall"
