"inning","inningHalf","outcomeId","outcomeDescription","pitcherThrowHand","pitcherPitchCount","pitchSpeed","pitchZone","startingBalls","startingStrikes","startingOuts","Success","age","sprint_speed","Fastest","AvgSpeed","home_lead","pitchType","pitchTypeDescription"
1,"BOT","bB","Ball","L",6,93,11,0,0,0,0,30,28.6,95.2,87.8981790591806,0,"FA","Fastball"
1,"TOP","bB","Ball","R",21,91,13,1,2,2,1,30,27.3,93.2,86.9475477971737,0,"FA","Fastball"
1,"TOP","kKL","Strike Looking","R",15,94,6,1,0,2,0,32,25.9,97.3,87.9906436233611,0,"FA","Fastball"
2,"BOT","bB","Ball","R",29,84,13,2,2,2,1,30,25.9,95,85.5925373134328,-1,"SL","Slider"
8,"TOP","kKL","Strike Looking","L",9,77,5,0,1,1,1,28,29.9,95.6,85.8666666666667,1,"CU","Curveball"
1,"BOT","kKS","Strike Swinging","R",16,85,7,3,2,1,1,26,27.7,94.7,87.3943733022895,0,"SP","Splitter"
3,"BOT","bB","Ball","R",43,83,11,1,0,1,0,26,30.3,94.7,87.3943733022895,0,"SP","Splitter"
3,"BOT","kKS","Strike Swinging","R",41,86,2,2,1,1,1,32,26.9,94.7,87.3943733022895,-1,"SL","Slider"
1,"BOT","kKS","Strike Swinging","R",16,85,7,3,3,2,0,26,27.7,94.7,87.3943733022895,0,"SP","Splitter"
2,"BOT","bB","Ball","R",53,89,11,1,0,2,1,32,26.9,93.5,85.9274816469837,1,"FA","Fastball"
7,"BOT","kKL","Strike Looking","R",9,91,6,1,0,0,1,33,25.7,94.5,87.8171717171717,4,"FA","Fastball"
1,"BOT","kKS","Strike Swinging","R",21,88,7,0,0,1,1,27,27.8,98,91.0095447870778,3,"SL","Slider"
7,"BOT","bB","Ball","L",100,91,10,2,1,1,1,28,27,96.6,88.3875874125874,4,"FA","Fastball"
2,"TOP","bB","Ball","R",17,92,13,2,2,0,0,32,25.5,95.9,89.5046264457643,0,"SI","Sinker"
9,"TOP","bB","Ball","R",12,86,11,1,1,1,1,26,27.7,98.1,92.3800632911392,-2,"SL","Slider"
2,"BOT","bB","Ball","L",32,91,10,0,1,1,0,27,27.8,95.7,87.7855027760642,0,"SI","Sinker"
9,"TOP","kKL","Strike Looking","R",12,83,5,1,1,1,1,32,28.1,96.9,90.2055253623188,1,"CU","Curveball"
5,"BOT","bB","Ball","L",74,75,11,1,0,0,1,39,29.1,97.2,87.4781659388646,0,"CU","Curveball"
6,"BOT","bB","Ball","R",90,81,13,0,0,1,1,27,27.8,87.3,77.252186277995,-1,"FA","Fastball"
2,"BOT","bB","Ball","R",34,75,12,2,2,2,1,30,28.5,87.3,77.252186277995,-1,"SL","Slider"
4,"BOT","kFT","Foul Tip","R",67,83,12,1,0,0,0,28,27,90.8,83.4304971638305,-1,"CT","Cutter"
6,"TOP","bB","Ball","R",75,92,12,1,0,1,1,35,28.4,95.9,89.5046264457643,5,"SI","Sinker"
8,"TOP","bB","Ball","L",1,93,9,0,0,1,1,28,29.9,99,87.932776801406,0,"FA","Fastball"
6,"BOT","bB","Ball","R",91,93,11,0,0,2,1,27,27.8,97.1,87.6840916125039,0,"SI","Sinker"
1,"BOT","kKL","Strike Looking","R",14,92,11,1,1,1,1,32,26.8,97.1,87.6840916125039,0,"SI","Sinker"
6,"BOT","bB","Ball","R",101,90,10,1,2,0,0,39,29.1,95.2,88.6017747858017,1,"FA","Fastball"
5,"BOT","bB","Ball","R",93,92,1,1,1,0,1,26,27.5,97.1,87.6840916125039,0,"FA","Fastball"
1,"BOT","kKL","Strike Looking","R",8,88,9,0,0,1,1,39,29.1,95.2,88.6017747858017,-3,"FA","Fastball"
9,"BOT","bB","Ball","R",11,85,11,0,1,2,1,39,29.1,101,92.7940108892922,0,"SL","Slider"
