column_number,column_name,description
1,game_pk,Unique game identifier
2,game_date,Date when the game was played
3,index,Record index number
4,startTime,Start time of the pitch or play
5,endTime,End time of the pitch or play
6,isPitch,Indicator if the record represents a pitch (TRUE/FALSE)
7,type,General type of play or event
8,playId,Unique identifier for the play
9,pitchNumber,Sequential pitch number within the at-bat
10,details.description,Text description of the play details
11,details.event,"Event name (e.g., single, strikeout)"
12,details.awayScore,Away team score at time of event
13,details.homeScore,Home team score at time of event
14,details.isScoringPlay,Indicator if the play was a scoring play
15,details.hasReview,Indicator if a review was used on the play
16,details.code,Code representing the play outcome
17,details.ballColor,Color of the ball as captured (for visualization purposes)
18,details.isInPlay,Indicator if the ball was put into play
19,details.isStrike,Indicator if the pitch was called a strike
20,details.isBall,Indicator if the pitch was called a ball
21,details.call.code,Code representing the umpire's call
22,details.call.description,Text description of the umpire's call
23,count.balls.start,Ball count at the start of the pitch
24,count.strikes.start,Strike count at the start of the pitch
25,count.outs.start,Out count at the start of the pitch
26,player.id,Player identifier (usually batter)
27,player.link,URL or link to the player's info
28,pitchData.strikeZoneTop,Top boundary of the strike zone
29,pitchData.strikeZoneBottom,Bottom boundary of the strike zone
30,details.fromCatcher,Indicator if the pitch signal came from the catcher
31,pitchData.coordinates.x,X coordinate for the pitch location
32,pitchData.coordinates.y,Y coordinate for the pitch location
33,hitData.trajectory,Inferred trajectory of the batted ball
34,hitData.hardness,Hardness rating of the batted ball
35,hitData.location,General location where the ball was hit
36,hitData.coordinates.coordX,X coordinate for the hit location
37,hitData.coordinates.coordY,Y coordinate for the hit location
38,actionPlayId,Unique identifier for the action play
39,details.eventType,Specific event type details
40,details.runnerGoing,"Indicator regarding runner movement (e.g., if a runner advanced)"
41,position.code,Code for the player's defensive position
42,position.name,Name of the defensive position
43,position.type,Type/category of the defensive position
44,position.abbreviation,"Abbreviated position (e.g., SS, CF)"
45,battingOrder,Batting order position
46,atBatIndex,Index of the at-bat in the game
47,result.type,"Type of result (e.g., hit, out)"
48,result.event,Brief result description
49,result.eventType,Categorical event type for the result
50,result.description,Detailed description of the result
